Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Total
2018,2,Salta,78386,53478,678,234,134167
2018,2,San Juan,54080,5068,826,3079,64101
2018,2,San Luis,11104,7666,368,16,21468
2018,2,Santa Cruz,18615,4474,585,6734,34405
2018,2,Santa Fe,337934,304349,11354,15801,684552
2018,2,Santiago Del Estero,26074,55935,23,1662,83775
2018,2,Tierra Del Fuego,19372,22756,531,1,44707
2018,2,Tucumán,160315,8965,110,252,169957
2018,1,Buenos Aires,1452061,1793884,133928,64379,3475446
2018,1,Capital Federal,349995,968483,35535,3164,1366570
2018,1,Catamarca,27300,4415,15,1,33945
2018,1,Chaco,54879,40157,383,388,96937
2018,1,Chubut,56375,19591,1194,14070,97959
2018,1,Córdoba,349342,326894,13178,13237,713926
2018,1,Corrientes,56937,35225,888,1334,94417
2018,1,Entre Ríos,106998,75751,3789,10776,197394
2018,1,Formosa,23556,7095,17,1603,32328
2018,1,Jujuy,33856,10456,23,28,44406
2018,1,La Pampa,10807,51389,8386,10556,83064
2018,1,La Rioja,16960,34984,13,253,52245
2018,1,Mendoza,152931,36872,3086,6206,200947
2018,1,Misiones,56311,46880,328,5,103580
2018,1,Neuquén,46714,55072,1000,12404,117903
2018,1,Río Negro,68769,31712,1251,4259,111119
2018,1,Salta,79936,51534,118,204,133183
2018,1,San Juan,54080,5068,826,2246,63268
2018,1,San Luis,11104,7594,368,16,21396
2018,1,Santa Cruz,18615,4474,1799,6734,34405
2018,1,Santa Fe,341997,300421,10674,11636,680026
2018,1,Santiago Del Estero,26788,54594,23,1432,82918
2018,1,Tierra Del Fuego,19372,9663,531,1,31614
2018,1,Tucumán,158611,8921,107,368,168057
2017,4,Buenos Aires,1241172,1718013,131181,60082,3181896
2017,4,Capital Federal,571363,961688,36277,3119,1582324
2017,4,Catamarca,27083,263,11,1,29558
2017,4,Chaco,55035,39690,389,380,96615
2017,4,Chubut,56378,15097,1187,14070,93440
2017,4,Córdoba,349710,324709,12778,12043,709979
2017,4,Corrientes,56786,34722,894,1334,93771
2017,4,Entre Ríos,107764,73692,1894,10267,193703
2017,4,Formosa,23410,6973,19,1603,32056
2017,4,Jujuy,33844,9626,20,28,43552
2017,4,La Pampa,10808,50495,8272,10569,82071
2017,4,La Rioja,16912,34984,14,253,52194
2017,4,Mendoza,152896,16114,3015,6206,180151
2017,4,Misiones,56271,47470,95,5,103895
2017,4,Neuquén,46739,54119,1017,12404,116971
2017,4,Río Negro,68690,30451,1250,4259,109764
2017,4,Salta,80705,50446,127,158,132812
2017,4,San Juan,54079,451,812,2246,58624
2017,4,San Luis,11104,1119,335,17,14904
2017,4,Santa Cruz,18614,1668,582,4638,29452
2017,4,Santa Fe,341680,293831,10602,10965,672460
2017,4,Santiago Del Estero,27313,40407,19,1025,68844
2017,4,Tierra Del Fuego,19372,6906,530,1,28854
2017,4,Tucumán,156583,5223,105,102,162332
2017,3,Buenos Aires,1288025,1571180,124920,35058,3057960
2017,3,Capital Federal,583249,941092,33481,2814,1570359
2017,3,Catamarca,26873,4411,12,1,33478
2017,3,Chaco,54888,37307,456,36,93759
2017,3,Chubut,56359,5645,1217,13503,83544
2017,3,Córdoba,344580,319360,10579,7137,696644
2017,3,Corrientes,56247,33993,947,1334,92548
2017,3,Entre Ríos,107774,69596,1786,6245,185464
2017,3,Formosa,22647,6816,428,2202,32105
2017,3,Jujuy,33796,9395,20,23,43242
2017,3,La Pampa,11378,49679,5153,11536,79690
2017,3,La Rioja,16638,34984,14,252,51913
2017,3,Mendoza,154036,33788,2772,29,192491
2017,3,Misiones,56472,43880,110,5,100476
2017,3,Neuquén,48001,52468,1044,11576,115784
2017,3,Río Negro,69301,30018,1106,3054,107496
2017,3,Salta,80782,50284,127,158,132518
2017,3,San Juan,54499,5068,816,1053,62449
2017,3,San Luis,11407,7576,347,26,21719
2017,3,Santa Cruz,19220,5487,1544,4552,33690
2017,3,Santa Fe,322953,290655,6338,4897,662342
2017,3,Santiago Del Estero,27733,54096,19,911,82794
2017,3,Tierra Del Fuego,21587,7012,622,1,31466
2017,3,Tucumán,154130,6431,106,40,161012
2017,2,Buenos Aires,1378549,1535037,119132,21555,3078631
2017,2,Capital Federal,615262,932466,38628,2819,1600191
2017,2,Catamarca,26401,255,14,1,26705
2017,2,Chaco,54449,35613,458,52,90611
2017,2,Chubut,43994,1067,916,13194,63975
2017,2,Córdoba,341748,303488,4451,6446,657638
2017,2,Corrientes,55262,33192,258,1354,90097
2017,2,Entre Ríos,108309,67650,254,6448,182732
2017,2,Formosa,22493,6410,17,1023,29956
2017,2,Jujuy,33742,8858,22,0,42657
2017,2,La Pampa,12754,48310,5194,6253,73022
2017,2,La Rioja,16244,0,15,2,16289
2017,2,Mendoza,153331,13030,2581,27,170753
2017,2,Misiones,56752,42925,103,5,99794
2017,2,Neuquén,51794,50283,1133,11545,117433
2017,2,Río Negro,67038,29147,961,3213,101619
2017,2,Salta,80184,27280,115,158,108541
2017,2,San Juan,48670,451,772,1073,51881
2017,2,San Luis,11432,1120,354,26,13307
2017,2,Santa Cruz,15311,2722,1365,4735,26388
2017,2,Santa Fe,329813,228102,3234,4958,567280
2017,2,Santiago Del Estero,28337,3900,19,911,33196
2017,2,Tierra Del Fuego,22636,6905,665,1,32557
2017,2,Tucumán,149013,5223,116,14,154411
2017,1,Buenos Aires,1559178,1465817,118839,21200,3189376
2017,1,Capital Federal,428801,918328,38259,2730,1399046
2017,1,Catamarca,26020,248,14,1,26317
